M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (M)Ljava/util/Random:nextDouble()
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (M)Ljava/lang/StringBuilder:append(D)
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (M)Ljava/lang/StringBuilder:toString()
M:Lspec/benchmarks/serial/data/TestHugeData:<clinit>() (M)Ljava/util/ArrayList:add(Ljava/lang/Object)
M:Lspec/benchmarks/serial/data/TestHugeData:equals(Ljava/lang/Object,) (M)Ljava/lang/Object:getClass()
C:Lspec/benchmarks/serial/data/TestParent Ljava/lang/Object
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/TestParent Ljava/util/HashMap
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Ljava/util/HashMap:<init>()
C:Lspec/benchmarks/serial/data/TestParent Ljava/lang/Long
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (S)Ljava/lang/Long:valueOf(J)
C:Lspec/benchmarks/serial/data/TestParent Ljava/lang/Integer
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (S)Ljava/lang/Integer:valueOf(I)
C:Lspec/benchmarks/serial/data/TestParent Ljava/util/Date
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Ljava/util/Date:<init>()
C:Lspec/benchmarks/serial/data/TestParent Ljava/lang/System
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (S)Ljava/lang/System:currentTimeMillis()
C:Lspec/benchmarks/serial/data/TestParent Ljava/sql/Date
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Ljava/sql/Date:<init>(J)
C:Lspec/benchmarks/serial/data/TestParent Ljava/util/Random
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Ljava/util/Random:<init>()
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Ljava/util/Random:nextDouble()
C:Lspec/benchmarks/serial/data/TestParent Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Ljava/lang/StringBuilder:append(I)
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Ljava/lang/StringBuilder:toString()
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Ljava/util/Random:nextBoolean()
C:Lspec/benchmarks/serial/data/TestParent Lspec/benchmarks/serial/data/TestParent
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Lspec/benchmarks/serial/data/TestParent:<init>(I)
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Lspec/benchmarks/serial/data/TestParent:setA(I)
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Ljava/util/HashMap:put(Ljava/lang/Object,Ljava/lang/Object)
C:Lspec/benchmarks/serial/data/TestParent Lspec/benchmarks/serial/data/Child
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (D)Lspec/benchmarks/serial/data/Child:<init>()
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Lspec/benchmarks/serial/data/TestParent:setChild(Lspec/benchmarks/serial/data/Child)
M:Lspec/benchmarks/serial/data/TestParent:<init>(I) (M)Lspec/benchmarks/serial/data/Child:setParent(Lspec/benchmarks/serial/data/TestParent)
C:Lspec/benchmarks/serial/data/TestParent Ljava/lang/String
